LotFrontage,LotArea,Street,Alley,LotShape,Condition1,Condition2,OverallQual,RoofStyle,RoofMatl,MasVnrArea,ExterQual,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,BsmtFullBath,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,3SsnPorch,MiscFeature,SaleType,Neighborhood,PoolQC,KitchenQual,Utilities,SalePrice
85,13600,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,176,TA,No,768,TA,Y,1986,0,2,1,7,3,2,Y,0,42,0,NA,WD,NWAmes,NA,TA,AllPub,205000
75,13860,Pave,NaN,Reg,Norm,Norm,8,Gable,CompShg,0,Gd,Gd,1952,Gd,Y,2704,1,2,1,9,3,2,Y,269,111,0,NA,WD,NWAmes,NA,Ex,AllPub,345000
68,8846,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,TA,No,750,Ex,Y,1500,0,2,1,6,0,2,Y,0,35,0,NA,New,CollgCr,NA,Gd,AllPub,173900
60,8544,Pave,NaN,Reg,Norm,Norm,3,Gable,CompShg,0,TA,NA,0,Gd,N,1040,0,2,0,6,0,2,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,93500
64,9037,Pave,NaN,IR1,Norm,Norm,8,Hip,CompShg,32,Gd,Av,1476,Ex,Y,1484,0,2,0,6,1,2,Y,120,33,0,NA,WD,Timber,NA,Ex,AllPub,265900
43,10667,Pave,NaN,IR2,PosN,Norm,7,Gable,CompShg,0,Gd,Av,799,Ex,Y,1661,1,2,1,6,1,2,Y,158,61,0,NA,ConLw,CollgCr,NA,Gd,AllPub,212000
58,16770,Pave,NaN,IR2,Norm,Norm,7,Gable,CompShg,30,Gd,No,1195,Gd,Y,1839,0,2,1,7,0,2,Y,0,81,0,NA,WD,NoRidge,NA,TA,AllPub,221000
60,6180,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,TA,No,960,TA,N,986,0,1,0,5,1,1,Y,0,128,0,NA,WD,BrkSide,NA,TA,AllPub,102000
92,11764,Pave,NaN,IR1,Norm,Norm,8,Gable,CompShg,348,Gd,No,1152,Ex,Y,2270,0,2,1,9,1,3,Y,132,57,0,NA,WD,NoRidge,NA,Gd,AllPub,290000
35,3675,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,82,TA,Gd,547,Gd,Y,1072,1,2,0,5,0,2,Y,0,44,0,NA,New,Edwards,NA,TA,AllPub,140000
100,34650,Pave,NaN,Reg,Norm,Norm,5,Hip,CompShg,0,TA,Mn,1056,TA,N,1056,1,1,0,5,0,2,Y,264,0,0,NA,WD,Gilbert,NA,TA,AllPub,145000
75,7950,Pave,NaN,IR1,Norm,Norm,6,Hip,CompShg,140,TA,No,690,TA,Y,1426,0,1,1,6,0,2,Y,252,0,0,NA,WD,Edwards,NA,TA,AllPub,159500
60,10930,Pave,Grvl,Reg,Artery,Norm,5,Gable,CompShg,0,TA,No,913,TA,Y,1558,1,1,1,6,1,1,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,140000
52,6240,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,1042,Ex,Y,1576,0,1,0,8,1,1,Y,0,0,0,NA,WD,BrkSide,NA,TA,AllPub,149000
103,13125,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,0,Gd,Mn,1104,Ex,Y,2127,1,2,1,8,1,3,Y,72,192,0,NA,WD,SawyerW,NA,Gd,AllPub,238000
60,7313,Pave,NaN,Reg,Norm,Norm,9,Hip,CompShg,246,Ex,No,1561,Ex,Y,1561,1,2,0,6,1,2,Y,203,47,0,NA,WD,NridgHt,NA,Ex,AllPub,277500
24,2645,Pave,Pave,Reg,Norm,Norm,8,Gable,CompShg,456,Gd,No,776,Ex,Y,1441,0,2,1,5,0,2,Y,206,0,0,NA,WD,Somerst,NA,Gd,AllPub,174000
48,6955,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,94,Gd,No,1368,Ex,Y,1368,0,2,0,6,1,2,Y,132,35,0,NA,New,NridgHt,NA,Gd,AllPub,202500
57,9764,Pave,NaN,IR1,Feedr,Norm,5,Gable,CompShg,0,TA,No,894,Ex,Y,894,1,1,0,5,0,2,Y,0,0,0,NA,WD,Sawyer,NA,Gd,AllPub,130000
85,13400,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,1047,TA,Av,1024,TA,Y,1086,1,1,0,6,1,2,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,159950
88,11782,Pave,NaN,IR1,Norm,Norm,5,Gable,CompShg,0,TA,Av,1109,TA,Y,1155,1,1,0,6,0,2,Y,192,0,0,Shed,WD,Sawyer,NA,Gd,AllPub,148000
115,21286,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,720,TA,Y,1271,0,2,0,7,1,1,Y,0,0,0,NA,WD,Sawyer,NA,TA,AllPub,135000
60,7200,Pave,NaN,Reg,Norm,Norm,5,Hip,CompShg,0,TA,No,1022,TA,N,1022,1,1,0,4,0,1,Y,0,30,0,NA,WD,OldTown,NA,TA,AllPub,85000
100,21750,Pave,NaN,Reg,Artery,Norm,5,Hip,CompShg,0,TA,No,988,Ex,Y,988,0,1,0,4,0,2,N,0,0,0,NA,WD,Mitchel,NA,TA,AllPub,113000
92,11932,Pave,NaN,Reg,Feedr,Norm,8,Gable,CompShg,186,Gd,No,1580,Ex,Y,1580,0,2,0,7,0,3,Y,0,24,0,NA,ConLD,Somerst,NA,Gd,AllPub,235128
53,4045,Pave,NaN,Reg,Norm,Norm,7,Hip,CompShg,45,Gd,Av,1356,Ex,Y,1500,1,2,0,6,1,3,Y,161,20,0,NA,New,Blmngtn,NA,Gd,AllPub,246578
108,14774,Pave,NaN,IR1,Norm,Norm,9,Gable,CompShg,165,Gd,No,1393,Ex,Y,2599,0,2,1,10,1,3,Y,668,30,0,NA,WD,NoRidge,NA,Gd,AllPub,333168
85,11103,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,0,Gd,No,728,Ex,Y,1456,0,2,1,8,1,2,Y,0,0,0,NA,New,CollgCr,NA,Gd,AllPub,155835
68,7820,Pave,NaN,IR1,Norm,Norm,9,Hip,CompShg,362,Ex,No,1869,Ex,Y,1869,0,2,0,6,1,2,Y,210,54,0,NA,New,NridgHt,NA,Ex,AllPub,318061
90,14684,Pave,NaN,IR1,Norm,Norm,7,Hip,CompShg,234,Gd,Mn,2158,Gd,Y,2196,0,2,0,7,1,3,Y,84,70,0,NA,WD,SawyerW,NA,Gd,AllPub,271900
80,9600,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,Gd,No,1113,Gd,Y,1113,0,1,0,5,1,1,Y,0,80,0,NA,WD,NWAmes,NA,Gd,AllPub,147000
95,11787,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,594,Gd,No,1379,Ex,Y,2398,1,2,1,8,1,3,Y,239,60,0,NA,WD,NoRidge,NA,Gd,AllPub,315750
74,8740,Pave,NaN,IR1,Norm,Norm,5,Hip,CompShg,0,TA,Av,840,TA,Y,860,1,1,0,4,0,2,Y,0,0,0,NA,WD,Sawyer,NA,TA,AllPub,137000
59,8263,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,TA,No,1012,TA,Y,1012,0,1,0,6,1,1,Y,0,22,0,NA,WD,IDOTRR,NA,TA,AllPub,118400
70,10570,Pave,NaN,Reg,Norm,Norm,8,Hip,CompShg,0,Gd,No,853,TA,Y,2727,0,2,1,10,2,2,Y,0,74,0,NA,WD,Crawfor,NA,Gd,AllPub,315000
124,11512,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,84,TA,Av,1019,Gd,Y,1357,1,1,0,5,1,1,Y,0,0,0,NA,WD,Edwards,NA,Ex,AllPub,177000
-1,2117,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,216,Gd,No,756,Ex,Y,1573,0,2,1,5,0,2,Y,0,32,0,NA,WD,Somerst,NA,Gd,AllPub,177500
98,8731,Pave,NaN,IR1,Norm,Norm,5,Gable,CompShg,0,TA,No,915,TA,Y,1167,0,1,0,6,1,2,Y,0,0,0,NA,WD,BrkSide,NA,TA,AllPub,144000
75,7500,Pave,NaN,Reg,Feedr,Norm,5,Gable,CompShg,0,TA,No,1040,Fa,Y,1040,1,1,1,5,0,1,Y,0,0,0,NA,WD,Sawyer,NA,TA,AllPub,133000
-1,4403,Pave,NaN,IR2,Norm,Norm,7,Gable,CompShg,432,Ex,Av,1470,Ex,Y,1478,1,2,1,7,1,2,Y,0,144,0,NA,New,Somerst,NA,Gd,AllPub,222000
85,10628,Pave,NaN,Reg,Norm,Norm,7,Flat,Tar&Grv,0,TA,Gd,1277,TA,Y,1277,1,1,0,5,1,2,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,167000
73,8760,Pave,NaN,Reg,Norm,Norm,6,Hip,CompShg,220,TA,No,1194,TA,Y,1194,1,1,0,6,0,1,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,148000
85,11900,Pave,NaN,Reg,Norm,Norm,7,Hip,CompShg,209,TA,No,1386,TA,Y,1411,0,2,0,6,1,2,Y,192,0,0,NA,WD,NWAmes,NA,TA,AllPub,82500
60,7200,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,294,TA,No,788,TA,Y,804,1,1,0,4,2,1,Y,0,0,0,NA,WD,OldTown,NA,Gd,AllPub,119000
72,10778,Pave,NaN,Reg,Norm,Norm,4,Hip,CompShg,0,TA,No,1768,TA,N,1768,0,2,0,8,0,0,Y,0,0,0,NA,WD,Sawyer,NA,TA,AllPub,136500
-1,12537,Pave,NaN,IR1,Norm,Norm,5,Gable,CompShg,0,TA,No,1078,Ex,Y,1078,1,1,1,6,1,2,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,149900
-1,21000,Pave,NaN,Reg,Norm,Norm,6,Hip,CompShg,184,TA,Mn,1809,TA,Y,2259,1,2,0,7,2,2,Y,166,120,0,NA,COD,Crawfor,NA,Gd,AllPub,217000
65,9313,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,0,Gd,No,864,Ex,Y,1728,0,2,1,7,0,2,Y,187,56,0,NA,WD,CollgCr,NA,Gd,AllPub,190000
70,7000,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,Gd,1117,TA,Y,1347,1,1,0,5,0,0,N,85,0,0,NA,WD,Edwards,NA,TA,AllPub,107500
62,9858,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,864,TA,Y,874,1,1,0,5,0,1,Y,33,0,0,Shed,WD,Mitchel,NA,TA,AllPub,130000
96,12474,Pave,NaN,Reg,Norm,Norm,10,Gable,CompShg,272,Ex,Av,1682,Ex,Y,2332,1,2,1,9,1,3,Y,196,134,0,NA,New,NridgHt,NA,Ex,AllPub,426000
64,7018,Pave,NaN,Reg,Feedr,Norm,5,Gable,CompShg,275,TA,Av,1086,TA,Y,1224,2,0,2,6,2,2,Y,120,0,0,NA,WD,SawyerW,NA,TA,AllPub,153337
50,9100,Pave,NaN,Reg,RRAn,Feedr,5,Gable,CompShg,0,TA,No,742,TA,Y,935,0,1,0,4,0,1,P,0,0,0,Shed,WD,BrkSide,NA,TA,AllPub,79500
